
# Surface 0 of 1 surfaces

# Curve title: "(y*(1+0.57143/(x**2 + y**2)))"

# Contour 0, label:        2
-0.12121 0.07197 2.00000 
-0.13898 0.08148 2.00000 
-0.16003 0.16296 2.00000 
-0.14124 0.24444 2.00000 
-0.12121 0.28309 2.00000 
-0.06321 0.32593 2.00000 
-0.04040 0.34266 2.00000 
0.04040 0.34266 2.00000 
0.06321 0.32593 2.00000 
0.12121 0.28309 2.00000 
0.14124 0.24444 2.00000 
0.16003 0.16296 2.00000 
0.13898 0.08148 2.00000 
0.12121 0.07197 2.00000 
0.04040 0.02854 2.00000 
-0.04040 0.02854 2.00000 
-0.12121 0.07197 2.00000 

3.43434 1.92897 2.00000 
3.51515 1.93140 2.00000 
3.59596 1.93373 2.00000 
3.67677 1.93594 2.00000 
3.75758 1.93805 2.00000 
3.83838 1.94007 2.00000 
3.91919 1.94200 2.00000 
4.00000 1.94384 2.00000 

-4.00000 1.94384 2.00000 
-3.91919 1.94200 2.00000 
-3.83838 1.94007 2.00000 
-3.75758 1.93805 2.00000 
-3.67677 1.93594 2.00000 
-3.59596 1.93373 2.00000 
-3.51515 1.93140 2.00000 
-3.43434 1.92897 2.00000 
-3.35354 1.92642 2.00000 
-3.27273 1.92374 2.00000 
-3.19192 1.92093 2.00000 
-3.11111 1.91797 2.00000 
-3.03030 1.91486 2.00000 
-2.94949 1.91160 2.00000 
-2.86869 1.90817 2.00000 
-2.78788 1.90455 2.00000 
-2.70707 1.90075 2.00000 
-2.62626 1.89675 2.00000 
-2.54545 1.89253 2.00000 
-2.46465 1.88809 2.00000 
-2.38384 1.88341 2.00000 
-2.30303 1.87848 2.00000 
-2.23455 1.87407 2.00000 
-2.22222 1.87328 2.00000 
-2.14141 1.86782 2.00000 
-2.06061 1.86207 2.00000 
-1.97980 1.85601 2.00000 
-1.89899 1.84963 2.00000 
-1.81818 1.84291 2.00000 
-1.73737 1.83584 2.00000 
-1.65657 1.82840 2.00000 
-1.57576 1.82059 2.00000 
-1.49495 1.81239 2.00000 
-1.41414 1.80381 2.00000 
-1.33333 1.79485 2.00000 
-1.31372 1.79259 2.00000 
-1.25253 1.78552 2.00000 
-1.17172 1.77583 2.00000 
-1.09091 1.76579 2.00000 
-1.01010 1.75545 2.00000 
-0.92929 1.74486 2.00000 
-0.84848 1.73411 2.00000 
-0.76768 1.72329 2.00000 
-0.68687 1.71256 2.00000 
-0.67552 1.71111 2.00000 
-0.60606 1.70201 2.00000 
-0.52525 1.69186 2.00000 
-0.44444 1.68238 2.00000 
-0.36364 1.67385 2.00000 
-0.28283 1.66655 2.00000 
-0.20202 1.66076 2.00000 
-0.12121 1.65675 2.00000 
-0.04040 1.65469 2.00000 
0.04040 1.65469 2.00000 
0.12121 1.65675 2.00000 
0.20202 1.66076 2.00000 
0.28283 1.66655 2.00000 
0.36364 1.67385 2.00000 
0.44444 1.68238 2.00000 
0.52525 1.69186 2.00000 
0.60606 1.70201 2.00000 
0.67552 1.71111 2.00000 
0.68687 1.71256 2.00000 
0.76768 1.72329 2.00000 
0.84848 1.73411 2.00000 
0.92929 1.74486 2.00000 
1.01010 1.75545 2.00000 
1.09091 1.76579 2.00000 
1.17172 1.77583 2.00000 
1.25253 1.78552 2.00000 
1.31372 1.79259 2.00000 
1.33333 1.79485 2.00000 
1.41414 1.80381 2.00000 
1.49495 1.81239 2.00000 
1.57576 1.82059 2.00000 
1.65657 1.82840 2.00000 
1.73737 1.83584 2.00000 
1.81818 1.84291 2.00000 
1.89899 1.84963 2.00000 
1.97980 1.85601 2.00000 
2.06061 1.86207 2.00000 
2.14141 1.86782 2.00000 
2.22222 1.87328 2.00000 
2.23455 1.87407 2.00000 
2.30303 1.87848 2.00000 
2.38384 1.88341 2.00000 
2.46465 1.88809 2.00000 
2.54545 1.89253 2.00000 
2.62626 1.89675 2.00000 
2.70707 1.90075 2.00000 
2.78788 1.90455 2.00000 
2.86869 1.90817 2.00000 
2.94949 1.91160 2.00000 
3.03030 1.91486 2.00000 
3.11111 1.91797 2.00000 
3.19192 1.92093 2.00000 
3.27273 1.92374 2.00000 
3.35354 1.92642 2.00000 
3.43434 1.92897 2.00000 


# Contour 1, label:      1.6
-0.12121 0.05758 1.60000 
-0.16588 0.08148 1.60000 
-0.19696 0.16296 1.60000 
-0.20202 0.21357 1.60000 
-0.20896 0.24444 1.60000 
-0.20202 0.31107 1.60000 
-0.19982 0.32593 1.60000 
-0.16885 0.40741 1.60000 
-0.12121 0.48122 1.60000 
-0.10774 0.48889 1.60000 
-0.04040 0.53803 1.60000 
0.04040 0.53803 1.60000 
0.10774 0.48889 1.60000 
0.12121 0.48122 1.60000 
0.16885 0.40741 1.60000 
0.19982 0.32593 1.60000 
0.20202 0.31107 1.60000 
0.20896 0.24444 1.60000 
0.20202 0.21357 1.60000 
0.19696 0.16296 1.60000 
0.16588 0.08148 1.60000 
0.12121 0.05758 1.60000 
0.04040 0.02283 1.60000 
-0.04040 0.02283 1.60000 
-0.12121 0.05758 1.60000 

3.03030 1.52432 1.60000 
3.11111 1.52736 1.60000 
3.19192 1.53023 1.60000 
3.27273 1.53294 1.60000 
3.35354 1.53551 1.60000 
3.43434 1.53794 1.60000 
3.51515 1.54025 1.60000 
3.59596 1.54243 1.60000 
3.67677 1.54451 1.60000 
3.75758 1.54648 1.60000 
3.82963 1.54815 1.60000 
3.83838 1.54835 1.60000 
3.91919 1.55013 1.60000 
4.00000 1.55183 1.60000 

-4.00000 1.55183 1.60000 
-3.91919 1.55013 1.60000 
-3.83838 1.54835 1.60000 
-3.82963 1.54815 1.60000 
-3.75758 1.54648 1.60000 
-3.67677 1.54451 1.60000 
-3.59596 1.54243 1.60000 
-3.51515 1.54025 1.60000 
-3.43434 1.53794 1.60000 
-3.35354 1.53551 1.60000 
-3.27273 1.53294 1.60000 
-3.19192 1.53023 1.60000 
-3.11111 1.52736 1.60000 
-3.03030 1.52432 1.60000 
-2.94949 1.52110 1.60000 
-2.86869 1.51769 1.60000 
-2.78788 1.51407 1.60000 
-2.70707 1.51022 1.60000 
-2.62626 1.50614 1.60000 
-2.54545 1.50179 1.60000 
-2.46465 1.49716 1.60000 
-2.38384 1.49223 1.60000 
-2.30303 1.48697 1.60000 
-2.22222 1.48135 1.60000 
-2.14141 1.47535 1.60000 
-2.06061 1.46893 1.60000 
-2.03396 1.46667 1.60000 
-1.97980 1.46208 1.60000 
-1.89899 1.45476 1.60000 
-1.81818 1.44692 1.60000 
-1.73737 1.43850 1.60000 
-1.65657 1.42946 1.60000 
-1.57576 1.41974 1.60000 
-1.49495 1.40928 1.60000 
-1.41414 1.39802 1.60000 
-1.33333 1.38588 1.60000 
-1.32902 1.38519 1.60000 
-1.25253 1.37289 1.60000 
-1.17172 1.35889 1.60000 
-1.09091 1.34377 1.60000 
-1.01010 1.32744 1.60000 
